team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
Pakistan,India,291,168,8,10,away,home,Pakistan,123.0,runs,Day and night,Pepsi Cup,Azhar Mahmood,Pakistan,"M Chinnaswamy Stadium, Bangalore",Pakistan,bat first,Bengaluru,Bengaluru,India,1999-04-04
Pakistan,England,323,233,5,10,away,away,Pakistan,90.0,runs,Day and night,Coca-Cola Cup,Ijaz Ahmed,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-04-07
Pakistan,India,279,163,8,6,away,away,Pakistan,116.0,runs,Day and night,Coca-Cola Cup,Inzamam-ul-Haq,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-04-08
India,England,222,202,5,10,away,away,India,20.0,runs,Day and night,Coca-Cola Cup,Ajay Jadeja,India,Sharjah Cricket Association Stadium,India,bat first,Sharjah,Sharjah,United Arab Emirates,1999-04-09
India,England,239,230,6,10,away,away,India,9.0,runs,Day and night,Coca-Cola Cup,Venkatesh Prasad,India,Sharjah Cricket Association Stadium,India,bat first,Sharjah,Sharjah,United Arab Emirates,1999-04-11
West Indies,Australia,209,165,10,10,home,away,West Indies,44.0,runs,Day,Australia tour of West Indies,Hendy Bryan,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",Australia,field first,Kingstown,Arnos Vale,West Indies,1999-04-11
England,Pakistan,206,144,10,10,away,away,England,62.0,runs,Day and night,Coca-Cola Cup,Mark Ealham,England,Sharjah Cricket Association Stadium,England,bat first,Sharjah,Sharjah,United Arab Emirates,1999-04-12
Pakistan,India,205,206,9,4,away,away,India,6.0,wickets,Day and night,Coca-Cola Cup,Sadagoppan Ramesh,India,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1999-04-13
Australia,West Indies,288,242,4,10,away,away,Australia,46.0,runs,Day,Australia tour of West Indies,Darren Lehmann,Australia,"Queen's Park (New), St George's, Grenada",Australia,bat first,St George's,St George's,Grenada,1999-04-14
India,Pakistan,125,129,10,2,away,away,Pakistan,8.0,wickets,Day and night,Coca-Cola Cup,Wasim Akram,Pakistan,Sharjah Cricket Association Stadium,India,bat first,Sharjah,Sharjah,United Arab Emirates,1999-04-16
Australia,West Indies,242,244,7,5,away,home,West Indies,5.0,wickets,Day,Australia tour of West Indies,Jimmy Adams,West Indies,"Queen's Park Oval, Port of Spain, Trinidad",Australia,bat first,Port of Spain,Port of Spain,West Indies,1999-04-17
Australia,West Indies,189,169,9,10,away,home,Australia,20.0,runs,Day,Australia tour of West Indies,Shane Warne,Australia,"Queen's Park Oval, Port of Spain, Trinidad",Australia,bat first,Port of Spain,Port of Spain,West Indies,1999-04-18
West Indies,Australia,173,173,5,7,away,away,Match tied,35.52088452088452,runs,Day,Australia tour of West Indies,Steve Waugh,Australia,"Bourda, Georgetown, Guyana",Australia,field first,Georgetown,Georgetown,Guyana,1999-04-21
West Indies,Australia,249,253,8,6,home,away,Australia,4.0,wickets,Day,Australia tour of West Indies,Adam Gilchrist,Australia,"Kensington Oval, Bridgetown, Barbados",West Indies,bat first,Bridgetown,Bridgetown,West Indies,1999-04-24
Australia,West Indies,252,197,9,2,away,home,West Indies,8.0,wickets,Day,Australia tour of West Indies,Sherwin Campbell,West Indies,"Kensington Oval, Bridgetown, Barbados",Australia,bat first,Bridgetown,Bridgetown,West Indies,1999-04-25
Sri Lanka,England,204,207,10,2,away,home,England,8.0,wickets,Day,ICC World Cup,Alec Stewart,England,"Lord's, London",England,field first,Lord's,St John's Wood Road,England,1999-05-14
India,South Africa,253,254,5,6,away,away,South Africa,4.0,wickets,Day,ICC World Cup,Jacques Kallis,South Africa,"New County Ground, Hove, Brighton",India,bat first,Hove,Hove,England,1999-05-15
Kenya,Zimbabwe,229,231,7,5,away,away,Zimbabwe,5.0,wickets,Day,ICC World Cup,Neil Johnson,Zimbabwe,"County Ground, Taunton",Zimbabwe,field first,Taunton,St James Street,England,1999-05-15
Scotland,Australia,181,182,7,4,away,away,Australia,6.0,wickets,Day,ICC World Cup,Mark Waugh,Australia,"County Ground, New Road, Worcester",Australia,field first,Worcester,New Road,England,1999-05-16
