team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
West Indies,Australia,172,173,9,9,away,home,Australia,1.0,wicket,Day and night,Benson & Hedges World Series,Paul Reiffel,Australia,Sydney Cricket Ground,West Indies,bat first,Sydney,Moore Park,Australia,1996-01-01
West Indies,Sri Lanka,194,124,10,10,away,away,West Indies,70.0,runs,Day,Benson & Hedges World Series,Shivnarine Chanderpaul,West Indies,"Bellerive Oval, Hobart",Sri Lanka,field first,Hobart,Bellerive,Australia,1996-01-03
Sri Lanka,West Indies,102,104,10,3,away,away,West Indies,7.0,wickets,Day and night,Benson & Hedges World Series,Curtly Ambrose,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat first,Brisbane,Woolloongabba,Australia,1996-01-05
West Indies,Australia,231,217,10,10,away,home,West Indies,14.0,runs,Day,Benson & Hedges World Series,Ottis Gibson,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,field first,Brisbane,Woolloongabba,Australia,1996-01-07
Australia,Sri Lanka,213,214,5,7,home,away,Sri Lanka,3.0,wickets,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Melbourne Cricket Ground,Australia,bat first,Melbourne,Jolimont,Australia,1996-01-09
South Africa,England,211,205,8,10,home,away,South Africa,6.0,runs,Day and night,England tour of South Africa,Shaun Pollock,South Africa,"Newlands, Cape Town",South Africa,bat first,Cape Town,Cape Town,South Africa,1996-01-09
South Africa,England,262,265,8,5,home,away,England,5.0,wickets,Day and night,England tour of South Africa,Mike Atherton,England,"Springbok Park, Bloemfontein",South Africa,bat first,Bloemfontein,Bloemfontein,South Africa,1996-01-11
Australia,Sri Lanka,266,183,6,9,home,away,Australia,83.0,runs,Day and night,Benson & Hedges World Series,Mark Waugh,Australia,"Western Australia Cricket Association Ground, Perth",Australia,bat first,Perth,East Perth,Australia,1996-01-12
England,South Africa,198,199,8,7,away,home,South Africa,3.0,wickets,Day,England tour of South Africa,Shaun Pollock,South Africa,"New Wanderers Stadium, Johannesburg",England,bat first,Johannesburg,Johannesburg,South Africa,1996-01-13
Sri Lanka,West Indies,202,186,10,9,away,away,Sri Lanka,16.0,runs,Day,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,"Western Australia Cricket Association Ground, Perth",West Indies,field first,Perth,East Perth,Australia,1996-01-14
England,South Africa,272,276,8,3,away,home,South Africa,7.0,wickets,Day,England tour of South Africa,Gary Kirsten,South Africa,Centurion Park,England,bat first,Centurion,Centurion,South Africa,1996-01-14
Australia,Sri Lanka,242,246,4,7,home,away,Sri Lanka,3.0,wickets,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Melbourne Cricket Ground,Australia,bat first,Melbourne,Jolimont,Australia,1996-01-16
England,South Africa,184,185,10,5,away,home,South Africa,5.0,wickets,Day and night,England tour of South Africa,Allan Donald,South Africa,"Kingsmead, Durban",South Africa,field first,Durban,Durban,South Africa,1996-01-17
South Africa,England,129,115,10,10,home,away,South Africa,14.0,runs,Day and night,England tour of South Africa,Paul Adams,South Africa,"Buffalo Park, East London",South Africa,bat first,East London,East London,South Africa,1996-01-19
South Africa,England,218,154,9,10,home,away,South Africa,64.0,runs,Day,England tour of South Africa,Adrian Kuiper,South Africa,"Crusaders Ground, St George's Park, Port Elizabeth",South Africa,bat first,Port Elizabeth,Port Elizabeth,South Africa,1996-01-21
New Zealand,Zimbabwe,278,204,5,10,home,away,New Zealand,74.0,runs,Day,Zimbabwe tour of New Zealand,Nathan Astle,New Zealand,"Eden Park, Auckland",New Zealand,bat first,Auckland,Auckland,New Zealand,1996-01-28
Zimbabwe,New Zealand,181,184,9,4,away,home,New Zealand,6.0,wickets,Day,Zimbabwe tour of New Zealand,Stephen Fleming,New Zealand,"Basin Reserve, Wellington",Zimbabwe,bat first,Wellington,Wellington,New Zealand,1996-01-31
Zimbabwe,New Zealand,267,246,7,10,away,home,Zimbabwe,21.0,runs,Day and night,Zimbabwe tour of New Zealand,Andy Flower,Zimbabwe,"McLean Park, Napier",New Zealand,field first,Napier,Napier,New Zealand,1996-02-03
New Zealand,England,239,228,6,9,away,away,New Zealand,11.0,runs,Day,Wills World Cup,Nathan Astle,New Zealand,"Gujarat Stadium, Motera, Ahmedabad",England,field first,Ahmedabad,Motera,India,1996-02-14
South Africa,United Arab Emirates,321,152,2,8,away,away,South Africa,169.0,runs,Day,Wills World Cup,Gary Kirsten,South Africa,Rawalpindi Cricket Stadium,United Arab Emirates,field first,Rawalpindi,Rawalpindi,Pakistan,1996-02-16
Zimbabwe,West Indies,151,155,9,4,away,away,West Indies,6.0,wickets,Day and night,Wills World Cup,Curtly Ambrose,West Indies,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Zimbabwe,bat first,Hyderabad (Deccan),Hyderabad,India,1996-02-16
New Zealand,Netherlands,307,188,8,7,away,away,New Zealand,119.0,runs,Day,Wills World Cup,Craig Spearman,New Zealand,"Indian Petrochemicals Corporation Limited Sports Complex Ground, Baroda",New Zealand,bat first,Vadodara,Vadodara,India,1996-02-17
Kenya,India,199,203,6,3,away,home,India,7.0,wickets,Day,Wills World Cup,Sachin Tendulkar,India,"Barabati Stadium, Cuttack",India,field first,Cuttack,Cuttack,India,1996-02-18
United Arab Emirates,England,136,140,10,2,away,away,England,8.0,wickets,Day,Wills World Cup,Neil Smith,England,"Arbab Niaz Stadium, Peshawar",United Arab Emirates,bat first,Peshawar,Peshawar,Pakistan,1996-02-18
New Zealand,South Africa,177,178,9,5,away,away,South Africa,5.0,wickets,Day,Wills World Cup,Hansie Cronje,South Africa,"Iqbal Stadium, Faisalabad",New Zealand,bat first,Faisalabad,Faisalabad,Pakistan,1996-02-20
Zimbabwe,Sri Lanka,228,229,6,4,away,home,Sri Lanka,6.0,wickets,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Zimbabwe,bat first,Colombo (SSC),Colombo,Sri Lanka,1996-02-21
West Indies,India,173,174,10,5,away,home,India,5.0,wickets,Day and night,Wills World Cup,Sachin Tendulkar,India,"Captain Roop Singh Stadium, Gwalior",West Indies,bat first,Gwalior,Gwalior,India,1996-02-21
England,Netherlands,279,230,4,6,away,away,England,49.0,runs,Day,Wills World Cup,Graeme Hick,England,"Arbab Niaz Stadium, Peshawar",England,bat first,Peshawar,Peshawar,Pakistan,1996-02-22
Australia,Kenya,304,207,7,7,away,away,Australia,97.0,runs,Day,Wills World Cup,Mark Waugh,Australia,"Indira Priyadarshini Stadium, Visakhapatnam",Kenya,field first,Visakhapatnam,Visakhapatnam,India,1996-02-23
United Arab Emirates,Pakistan,109,112,9,1,away,home,Pakistan,9.0,wickets,Day,Wills World Cup,Mushtaq Ahmed,Pakistan,"Jinnah Stadium, Gujranwala",Pakistan,field first,Gujranwala,Gujranwala,Pakistan,1996-02-24
South Africa,England,230,152,10,10,away,away,South Africa,78.0,runs,Day,Wills World Cup,Jonty Rhodes,South Africa,Rawalpindi Cricket Stadium,South Africa,bat first,Rawalpindi,Rawalpindi,Pakistan,1996-02-25
Netherlands,Pakistan,145,151,7,2,away,home,Pakistan,8.0,wickets,Day,Wills World Cup,Waqar Younis,Pakistan,"Gaddafi Stadium, Lahore",Netherlands,bat first,Lahore,Lahore,Pakistan,1996-02-26
Kenya,Zimbabwe,134,137,10,5,away,away,Zimbabwe,5.0,wickets,Day,Wills World Cup,Paul Strang,Zimbabwe,"Moin-ul-Haq Stadium, Patna",Zimbabwe,field first,Patna,Patna,India,1996-02-27
New Zealand,United Arab Emirates,276,167,8,9,away,away,New Zealand,109.0,runs,Day,Wills World Cup,Roger Twose,New Zealand,"Iqbal Stadium, Faisalabad",United Arab Emirates,field first,Faisalabad,Faisalabad,Pakistan,1996-02-27
Australia,India,258,242,10,10,away,home,Australia,16.0,runs,Day and night,Wills World Cup,Mark Waugh,Australia,"Wankhede Stadium, Mumbai",Australia,bat first,Mumbai,Mumbai,India,1996-02-27
Kenya,West Indies,166,93,10,10,away,away,Kenya,73.0,runs,Day,Wills World Cup,Maurice Odumbe,Kenya,"Nehru Stadium, Poona",West Indies,field first,Pune,Pune,India,1996-02-29
Pakistan,South Africa,242,243,6,5,home,away,South Africa,5.0,wickets,Day,Wills World Cup,Hansie Cronje,South Africa,"National Stadium, Karachi",Pakistan,bat first,Karachi,Karachi,Pakistan,1996-02-29
Zimbabwe,Australia,154,158,10,2,away,away,Australia,8.0,wickets,Day,Wills World Cup,Shane Warne,Australia,"Vidarbha Cricket Association Ground, Nagpur",Zimbabwe,bat first,Nagpur,Nagpur,India,1996-03-01
Netherlands,United Arab Emirates,216,220,9,3,away,away,U.A.E.,7.0,wickets,Day,Wills World Cup,Saleem Raza,United Arab Emirates,"Gaddafi Stadium, Lahore",United Arab Emirates,field first,Lahore,Lahore,Pakistan,1996-03-01
India,Sri Lanka,271,272,3,4,home,away,Sri Lanka,6.0,wickets,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,"Feroz Shah Kotla, Delhi",Sri Lanka,field first,Delhi,Delhi,India,1996-03-02
England,Pakistan,249,250,9,3,away,home,Pakistan,7.0,wickets,Day,Wills World Cup,Aamer Sohail,Pakistan,"National Stadium, Karachi",England,bat first,Karachi,Karachi,Pakistan,1996-03-03
Australia,West Indies,229,232,6,6,away,away,West Indies,4.0,wickets,Day,Wills World Cup,Richie Richardson,West Indies,"Sawai Mansingh Stadium, Jaipur",Australia,bat first,Jaipur,Jaipur,India,1996-03-04
South Africa,Netherlands,328,168,3,8,away,away,South Africa,160.0,runs,Day,Wills World Cup,Andrew Hudson,South Africa,Rawalpindi Cricket Stadium,South Africa,bat first,Rawalpindi,Rawalpindi,Pakistan,1996-03-05
India,Zimbabwe,247,207,5,10,home,away,India,40.0,runs,Day,Wills World Cup,Ajay Jadeja,India,"Green Park, Kanpur",Zimbabwe,field first,Kanpur,Civil Lines,India,1996-03-06
Sri Lanka,Kenya,398,254,5,7,home,away,Sri Lanka,144.0,runs,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,"Asgiriya Stadium, Kandy",Kenya,field first,Kandy,Kandy,Sri Lanka,1996-03-06
Pakistan,New Zealand,281,235,5,10,home,away,Pakistan,46.0,runs,Day,Wills World Cup,Saleem Malik,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,field first,Lahore,Lahore,Pakistan,1996-03-06
England,Sri Lanka,235,236,8,5,away,away,Sri Lanka,5.0,wickets,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,"Iqbal Stadium, Faisalabad",England,bat first,Faisalabad,Faisalabad,Pakistan,1996-03-09
India,Pakistan,287,248,8,9,home,away,India,39.0,runs,Day and night,Wills World Cup,Navjot Sidhu,India,"M Chinnaswamy Stadium, Bangalore",India,bat first,Bengaluru,Bengaluru,India,1996-03-09
West Indies,South Africa,264,245,8,10,away,away,West Indies,19.0,runs,Day,Wills World Cup,Brian Lara,West Indies,"National Stadium, Karachi",West Indies,bat first,Karachi,Karachi,Pakistan,1996-03-11
New Zealand,Australia,286,289,9,4,away,away,Australia,6.0,wickets,Day and night,Wills World Cup,Mark Waugh,Australia,"MA Chidambaram Stadium, Chepauk, Madras",New Zealand,bat first,Chennai,Chepauk,India,1996-03-11
Sri Lanka,India,251,120,8,8,away,home,Sri Lanka,35.52088452088452,default,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,"Eden Gardens, Calcutta",India,field first,Kolkata,Kolkata,India,1996-03-13
Australia,Sri Lanka,241,245,7,3,away,away,Sri Lanka,7.0,wickets,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,"Gaddafi Stadium, Lahore",Sri Lanka,field first,Lahore,Lahore,Pakistan,1996-03-17
New Zealand,West Indies,243,247,10,9,away,home,West Indies,1.0,wicket,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,"Sabina Park, Kingston, Jamaica",West Indies,field first,Kingston,Kingston,West Indies,1996-03-26
West Indies,New Zealand,238,239,7,6,home,away,New Zealand,4.0,wickets,Day,New Zealand tour of West Indies,Stephen Fleming,New Zealand,"Queen's Park Oval, Port of Spain, Trinidad",New Zealand,field first,Port of Spain,Port of Spain,West Indies,1996-03-29
New Zealand,West Indies,219,225,8,3,away,home,West Indies,7.0,wickets,Day,New Zealand tour of West Indies,Brian Lara,West Indies,"Queen's Park Oval, Port of Spain, Trinidad",New Zealand,bat first,Port of Spain,Port of Spain,West Indies,1996-03-30
Sri Lanka,Pakistan,349,315,9,10,away,away,Sri Lanka,34.0,runs,Day,Singer Cup,Sanath Jayasuriya,Sri Lanka,"The Padang, Singapore",Pakistan,field first,Singapore,Padang,Singapore,1996-04-02
India,Sri Lanka,199,187,10,10,away,away,India,12.0,runs,Day,Singer Cup,Javagal Srinath,India,"The Padang, Singapore",India,bat first,Singapore,Padang,Singapore,1996-04-03
New Zealand,West Indies,158,154,10,10,away,away,New Zealand,4.0,runs,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,"Bourda, Georgetown, Guyana",West Indies,field first,Georgetown,Georgetown,Guyana,1996-04-03
India,Pakistan,226,190,8,2,away,away,Pakistan,8.0,wickets,Day,Singer Cup,Aamer Sohail,Pakistan,"The Padang, Singapore",Pakistan,field first,Singapore,Padang,Singapore,1996-04-05
New Zealand,West Indies,241,242,8,3,away,home,West Indies,7.0,wickets,Day,New Zealand tour of West Indies,Phil Simmons,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field first,Kingstown,Arnos Vale,West Indies,1996-04-06
Pakistan,Sri Lanka,215,172,10,10,away,away,Pakistan,43.0,runs,Day,Singer Cup,Saqlain Mushtaq,Pakistan,"The Padang, Singapore",Sri Lanka,field first,Singapore,Padang,Singapore,1996-04-07
Pakistan,India,271,233,5,10,away,away,Pakistan,38.0,runs,Day,Pepsi Sharjah Cup,Aamer Sohail,Pakistan,Sharjah Cricket Association Stadium,India,field first,Sharjah,Sharjah,United Arab Emirates,1996-04-12
South Africa,Pakistan,314,171,3,7,away,away,South Africa,143.0,runs,Day,Pepsi Sharjah Cup,Daryll Cullinan,South Africa,Sharjah Cricket Association Stadium,South Africa,bat first,Sharjah,Sharjah,United Arab Emirates,1996-04-13
Sri Lanka,West Indies,251,216,10,9,away,home,Sri Lanka,35.0,runs,Day,Sri Lanka tour of West Indies,Kumar Dharmasena,Sri Lanka,"Queen's Park Oval, Port of Spain, Trinidad",Sri Lanka,bat first,Port of Spain,Port of Spain,West Indies,1996-04-13
South Africa,India,288,208,6,8,away,away,South Africa,80.0,runs,Day,Pepsi Sharjah Cup,Hansie Cronje,South Africa,Sharjah Cricket Association Stadium,South Africa,bat first,Sharjah,Sharjah,United Arab Emirates,1996-04-14
India,Pakistan,305,277,5,10,away,away,India,28.0,runs,Day,Pepsi Sharjah Cup,Sachin Tendulkar,India,Sharjah Cricket Association Stadium,India,bat first,Sharjah,Sharjah,United Arab Emirates,1996-04-15
Pakistan,South Africa,188,189,10,2,away,away,South Africa,8.0,wickets,Day,Pepsi Sharjah Cup,Craig Matthews,South Africa,Sharjah Cricket Association Stadium,Pakistan,bat first,Sharjah,Sharjah,United Arab Emirates,1996-04-16
India,South Africa,215,216,8,5,away,away,South Africa,5.0,wickets,Day,Pepsi Sharjah Cup,Paul Adams,South Africa,Sharjah Cricket Association Stadium,India,bat first,Sharjah,Sharjah,United Arab Emirates,1996-04-17
South Africa,India,287,249,5,9,away,away,South Africa,38.0,runs,Day,Pepsi Sharjah Cup,Gary Kirsten,South Africa,Sharjah Cricket Association Stadium,South Africa,bat first,Sharjah,Sharjah,United Arab Emirates,1996-04-19
England,India,291,96,8,5,home,away,No result,35.52088452088452,runs,Day,India tour of England,Chris Lewis,England,"Kennington Oval, London",England,bat first,The Oval,London,England,1996-01-01
India,England,158,162,10,4,away,home,England,6.0,wickets,Day,India tour of England,Graham Thorpe,England,"Headingley, Leeds",England,field first,Leeds,Leeds,England,1996-05-25
India,England,236,239,4,6,away,home,England,4.0,wickets,Day,India tour of England,Ali Brown,England,"Old Trafford, Manchester",India,bat first,Manchester,Stretford,England,1996-01-01
Australia,Zimbabwe,263,138,7,10,away,away,Australia,125.0,runs,Day and night,Singer World Series,Steve Waugh,Australia,"R Premadasa Stadium, Colombo",Australia,bat first,Colombo (RPS),Khettarama,Sri Lanka,1996-08-26
India,Sri Lanka,226,230,5,1,away,home,Sri Lanka,9.0,wickets,Day and night,Singer World Series,Sanath Jayasuriya,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat first,Colombo (RPS),Khettarama,Sri Lanka,1996-08-28
Pakistan,England,225,226,5,5,away,home,England,5.0,wickets,Day,Pakistan tour of England and Scotland,Mike Atherton,England,"Old Trafford, Manchester",Pakistan,bat first,Manchester,Stretford,England,1996-08-29
Australia,Sri Lanka,228,232,9,6,away,home,Sri Lanka,4.0,wickets,Day and night,Singer World Series,Aravinda de Silva,Sri Lanka,"R Premadasa Stadium, Colombo",Australia,bat first,Colombo (RPS),Khettarama,Sri Lanka,1996-08-30
England,Pakistan,292,185,8,10,home,away,England,107.0,runs,Day,Pakistan tour of England and Scotland,Nick Knight,England,"Edgbaston, Birmingham",Pakistan,field first,Birmingham,Birmingham,England,1996-08-31
Zimbabwe,India,226,229,10,3,away,away,India,7.0,wickets,Day,Singer World Series,Ajay Jadeja,India,"Sinhalese Sports Club Ground, Colombo",India,field first,Colombo (SSC),Colombo,Sri Lanka,1996-09-01
England,Pakistan,246,247,10,8,home,away,Pakistan,2.0,wickets,Day,Pakistan tour of England and Scotland,Wasim Akram,Pakistan,"Trent Bridge, Nottingham",England,bat first,Nottingham,Nottingham,England,1996-09-01
Zimbabwe,Sri Lanka,227,228,5,4,away,home,Sri Lanka,6.0,wickets,Day,Singer World Series,Aravinda de Silva,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,field first,Colombo (SSC),Colombo,Sri Lanka,1996-09-03
India,Australia,201,202,10,7,away,away,Australia,3.0,wickets,Day,Singer World Series,Steve Waugh,Australia,"Sinhalese Sports Club Ground, Colombo",Australia,field first,Colombo (SSC),Colombo,Sri Lanka,1996-09-06
Sri Lanka,Australia,234,184,3,10,home,away,Sri Lanka,50.0,runs,Day,Singer World Series,Aravinda de Silva,Sri Lanka,"R Premadasa Stadium, Colombo",Australia,field first,Colombo (RPS),Khettarama,Sri Lanka,1996-09-07
Pakistan,India,170,173,9,2,away,away,India,8.0,wickets,Day,Pakistan tour of Canada,Sachin Tendulkar,India,"Toronto Cricket, Skating and Curling Club",India,field first,Toronto,Toronto,Canada,1996-09-16
India,Pakistan,264,266,6,8,away,away,Pakistan,2.0,wickets,Day,Pakistan tour of Canada,Saleem Malik,Pakistan,"Toronto Cricket, Skating and Curling Club",Pakistan,field first,Toronto,Toronto,Canada,1996-09-17
India,Pakistan,191,136,10,10,away,away,India,55.0,runs,Day,Pakistan tour of Canada,Rahul Dravid,India,"Toronto Cricket, Skating and Curling Club",India,bat first,Toronto,Toronto,Canada,1996-09-18
Pakistan,India,258,161,8,10,away,away,Pakistan,97.0,runs,Day,Pakistan tour of Canada,Ijaz Ahmed,Pakistan,"Toronto Cricket, Skating and Curling Club",India,field first,Toronto,Toronto,Canada,1996-09-21
Pakistan,India,213,161,9,10,away,away,Pakistan,52.0,runs,Day,Pakistan tour of Canada,Mushtaq Ahmed,Pakistan,"Toronto Cricket, Skating and Curling Club",Pakistan,bat first,Toronto,Toronto,Canada,1996-09-23
Kenya,Sri Lanka,188,190,9,3,home,away,Sri Lanka,7.0,wickets,Day,KCA Centenary Tournament,Muthiah Muralidaran,Sri Lanka,"Gymkhana Club Ground, Nairobi",Sri Lanka,field first,Nairobi (Gym),Nairobi,Kenya,1996-09-28
South Africa,Pakistan,321,259,8,10,away,away,South Africa,62.0,runs,Day,KCA Centenary Tournament,Jonty Rhodes,South Africa,"Gymkhana Club Ground, Nairobi",Pakistan,field first,Nairobi (Gym),Nairobi,Kenya,1996-09-29
South Africa,Sri Lanka,169,170,10,8,away,away,Sri Lanka,2.0,wickets,Day,KCA Centenary Tournament,Sanath Jayasuriya,Sri Lanka,Nairobi Club Ground,South Africa,bat first,Nairobi (Club),Nairobi,Kenya,1996-10-01
Kenya,Pakistan,148,149,10,6,home,away,Pakistan,4.0,wickets,Day,KCA Centenary Tournament,Thomas Odoyo,Kenya,"Aga Khan Sports Club Ground, Nairobi",Kenya,bat first,Nairobi (Aga),Nairobi,Kenya,1996-10-02
South Africa,Kenya,305,103,8,10,away,home,South Africa,202.0,runs,Day,KCA Centenary Tournament,Allan Donald,South Africa,"Gymkhana Club Ground, Nairobi",South Africa,bat first,Nairobi (Gym),Nairobi,Kenya,1996-10-03
Pakistan,Sri Lanka,371,289,9,10,away,away,Pakistan,82.0,runs,Day,KCA Centenary Tournament,Shahid Afridi,Pakistan,"Gymkhana Club Ground, Nairobi",Sri Lanka,field first,Nairobi (Gym),Nairobi,Kenya,1996-10-04
Pakistan,South Africa,203,204,10,3,away,away,South Africa,7.0,wickets,Day,KCA Centenary Tournament,Gary Kirsten,South Africa,"Gymkhana Club Ground, Nairobi",Pakistan,bat first,Nairobi (Gym),Nairobi,Kenya,1996-10-06
South Africa,India,261,214,7,10,away,home,South Africa,47.0,runs,Day and night,Titan Cup,Gary Kirsten,South Africa,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",South Africa,bat first,Hyderabad (Deccan),Hyderabad,India,1996-10-17
Australia,South Africa,219,220,7,3,away,away,South Africa,7.0,wickets,Day,Titan Cup,Gary Kirsten,South Africa,"Nehru Stadium, Indore",Australia,bat first,Indore,Indore,India,1996-10-19
Australia,India,215,216,7,8,away,home,India,2.0,wickets,Day and night,Titan Cup,Sachin Tendulkar,India,"M Chinnaswamy Stadium, Bangalore",Australia,bat first,Bengaluru,Bengaluru,India,1996-10-21
South Africa,India,249,222,6,7,away,home,South Africa,27.0,runs,Day,Titan Cup,Daryll Cullinan,South Africa,"Sawai Mansingh Stadium, Jaipur",India,field first,Jaipur,Jaipur,India,1996-10-23
Australia,South Africa,215,218,10,8,away,away,South Africa,2.0,wickets,Day,Titan Cup,Allan Donald,South Africa,"Nahar Singh Stadium, Faridabad",Australia,bat first,Faridabad,Faridabad,India,1996-10-25
India,South Africa,185,188,10,5,home,away,South Africa,5.0,wickets,Day,Titan Cup,Jonty Rhodes,South Africa,"Municipal Stadium, Rajkot",India,bat first,Rajkot,Rajkot,India,1996-10-29
Zimbabwe,Pakistan,237,239,9,7,away,home,Pakistan,3.0,wickets,Day,Zimbabwe tour of Pakistan,Saleem Malik,Pakistan,"Bugti Stadium, Quetta",Zimbabwe,bat first,Quetta,Quetta,Pakistan,1996-10-30
Australia,South Africa,238,239,6,2,away,away,South Africa,8.0,wickets,Day,Titan Cup,Pat Symcox,South Africa,"Nehru Stadium, Gauhati",Australia,bat first,Guwahati,Stadium Road,India,1996-11-01
Zimbabwe,Pakistan,195,196,10,1,away,home,Pakistan,9.0,wickets,Day,Zimbabwe tour of Pakistan,Shahid Afridi,Pakistan,"Gaddafi Stadium, Lahore",Zimbabwe,bat first,Lahore,Lahore,Pakistan,1996-11-01
Pakistan,Zimbabwe,264,147,9,10,home,away,Pakistan,78.0,runs,Day,Zimbabwe tour of Pakistan,Ijaz Ahmed,Pakistan,"Arbab Niaz Stadium, Peshawar",Pakistan,bat first,Peshawar,Peshawar,Pakistan,1996-11-03
India,Australia,289,284,6,10,home,away,India,5.0,runs,Day and night,Titan Cup,Mohammad Azharuddin,India,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Australia,field first,Mohali,Mohali,India,1996-11-03
India,South Africa,220,185,7,10,home,away,India,35.0,runs,Day and night,Titan Cup,Anil Kumble,India,"Wankhede Stadium, Mumbai",India,bat first,Mumbai,Mumbai,India,1996-11-06
New Zealand,Sri Lanka,206,177,8,10,away,away,New Zealand,29.0,runs,Day,Singer Champions Trophy,Chris Cairns,New Zealand,Sharjah Cricket Association Stadium,Sri Lanka,field first,Sharjah,Sharjah,United Arab Emirates,1996-11-07
Sri Lanka,Pakistan,206,131,10,10,away,away,Sri Lanka,75.0,runs,Day,Singer Champions Trophy,Sanath Jayasuriya,Sri Lanka,Sharjah Cricket Association Stadium,Pakistan,field first,Sharjah,Sharjah,United Arab Emirates,1996-11-08
New Zealand,Pakistan,197,198,10,6,away,away,Pakistan,4.0,wickets,Day,Singer Champions Trophy,Saeed Anwar,Pakistan,Sharjah Cricket Association Stadium,New Zealand,bat first,Sharjah,Sharjah,United Arab Emirates,1996-11-10
New Zealand,Sri Lanka,169,169,8,10,away,away,Match tied,35.52088452088452,runs,Day,Singer Champions Trophy,Danny Morrison,New Zealand,Sharjah Cricket Association Stadium,New Zealand,bat first,Sharjah,Sharjah,United Arab Emirates,1996-11-11
Sri Lanka,Pakistan,189,193,10,2,away,away,Pakistan,8.0,wickets,Day,Singer Champions Trophy,Saeed Anwar,Pakistan,Sharjah Cricket Association Stadium,Sri Lanka,bat first,Sharjah,Sharjah,United Arab Emirates,1996-11-12
New Zealand,Pakistan,192,196,10,6,away,away,Pakistan,4.0,wickets,Day,Singer Champions Trophy,Waqar Younis,Pakistan,Sharjah Cricket Association Stadium,Pakistan,field first,Sharjah,Sharjah,United Arab Emirates,1996-11-13
Pakistan,New Zealand,160,119,10,10,away,away,Pakistan,41.0,runs,Day,Singer Champions Trophy,Wasim Akram,Pakistan,Sharjah Cricket Association Stadium,New Zealand,field first,Sharjah,Sharjah,United Arab Emirates,1996-11-15
Pakistan,New Zealand,228,217,8,10,home,away,Pakistan,11.0,runs,Day,New Zealand tour of Pakistan,Saleem Malik,Pakistan,"Jinnah Stadium, Gujranwala",Pakistan,bat first,Gujranwala,Gujranwala,Pakistan,1996-12-04
West Indies,Australia,172,173,10,5,away,home,Australia,5.0,wickets,Day and night,Carlton & United Series,Greg Blewett,Australia,Melbourne Cricket Ground,West Indies,bat first,Melbourne,Jolimont,Australia,1996-12-06
Pakistan,New Zealand,277,231,9,10,home,away,Pakistan,46.0,runs,Day,New Zealand tour of Pakistan,Saeed Anwar,Pakistan,"Jinnah Stadium, Sialkot",Pakistan,bat first,Sialkot,Sialkot,Pakistan,1996-12-06
West Indies,Australia,161,162,10,2,away,home,Australia,8.0,wickets,Day and night,Carlton & United Series,Shane Warne,Australia,Sydney Cricket Ground,West Indies,bat first,Sydney,Moore Park,Australia,1996-12-08
Pakistan,New Zealand,234,235,4,3,home,away,New Zealand,7.0,wickets,Day,New Zealand tour of Pakistan,Nathan Astle,New Zealand,"National Stadium, Karachi",Pakistan,bat first,Karachi,Karachi,Pakistan,1996-12-08
India,South Africa,267,193,6,10,home,away,India,74.0,runs,Day and night,South Africa tour of India,Sachin Tendulkar,India,"Wankhede Stadium, Mumbai",India,bat first,Mumbai,Mumbai,India,1996-12-14
Pakistan,Australia,223,211,10,10,away,home,Pakistan,12.0,runs,Day,Carlton & United Series,Saqlain Mushtaq,Pakistan,Adelaide Oval,Pakistan,bat first,Adelaide,North Adelaide,Australia,1996-12-15
England,Zimbabwe,152,153,10,8,away,home,Zimbabwe,2.0,wickets,Day,England tour of Zimbabwe,Alistair Campbell,Zimbabwe,"Queens Sports Club, Bulawayo",Zimbabwe,field first,Bulawayo,Bulawayo,Zimbabwe,1996-12-15
Pakistan,West Indies,176,177,10,3,away,away,West Indies,7.0,wickets,Day,Carlton & United Series,Junior Murray,West Indies,Adelaide Oval,West Indies,field first,Adelaide,North Adelaide,Australia,1996-12-17
